File Count,Total Volume,Actual Comparisons,Estimated Theoretical Comparisons,Sorting Time (ms)
1,8463,134827,134606,0.296208
2,12900,398023,217081,1.288291
3,22345,709354,400291,1.198459
4,28198,905767,520456,1.507208
5,37818,1450681,718715,2.209625
6,43593,1968823,837630,2.64175
7,53213,1621065,1038437,2.11875
8,57912,2298607,1146447,3.03575
9,73449,2399799,1491961,3.101125
10,88986,2824206,1845285,3.739708
11,97088,4266067,2028358,5.377625
12,105064,5364938,2214997,6.777958
13,110878,4767995,2343285,5.9495
14,123636,5068930,2632520,6.403583
15,127754,5468426,2742699,6.9015
16,140463,5530550,3040961,6.589917
17,144368,8017392,3121262,9.8875
18,146563,8263830,3191766,9.83775
19,152561,8558053,3302445,10.33325
20,153702,8348839,3347585,9.9465
21,156915,8546537,3413713,9.955167
22,172452,7504811,3790313,8.952416
23,180921,7499396,4001600,8.815708
24,190760,8710949,4227618,10.68575
25,193648,8839667,4327077,10.950375
26,201331,10982127,4490535,13.11925
27,210475,10468893,4704775,12.958667
28,214464,12128480,4783280,14.655834
29,217916,11673388,4874987,13.936125
30,230624,10168044,5200497,12.633917
31,234495,10737849,5313523,13.420042
32,244180,12967138,5522134,15.702042
33,252808,14231701,5751587,17.453417
34,263780,11295040,6010628,12.9015
35,268504,13469081,6162012,16.060416
36,271659,16174197,6223875,18.964916
37,281553,13438444,6461530,15.584292
38,297090,13823073,6868206,16.015042
39,308871,13800754,7160665,15.968709
40,318911,15484420,7442077,18.484084
41,323470,19150020,7523095,22.478
42,332388,15652787,7743969,18.41575
43,342907,16966606,8042021,19.993125
44,346248,20851517,8076273,24.258625
45,348512,20099656,8119369,23.234458
46,356538,20220278,8337595,23.352459
47,369243,18236161,8690748,21.329333
48,384780,21075627,9039943,25.083625
49,391881,19701120,9285841,24.089042
50,402853,23330338,9546723,27.402291
51,403446,24008865,9529574,27.479375
52,411881,21482138,9766859,25.14825
53,424639,20543027,10076709,23.592125
54,437397,20306762,10378707,24.060292
55,440277,25759285,10498698,30.052834
56,445984,26175090,10628748,30.245959
57,456956,25936419,10963654,30.663667
58,465677,25111216,11204838,29.102333
59,472634,25418331,11351305,29.839708
60,475245,27481014,11424767,31.538292
61,482621,26014058,11607583,30.075125
62,487204,25140408,11716737,29.747791
63,500142,24802863,12094654,29.294208
64,508080,30610218,12305844,35.528917
65,518599,26179500,12588704,30.995042
66,524168,30829425,12643282,36.021208
67,528647,28922439,12789381,34.074875
68,539619,29569994,13082192,34.562917
69,552557,28798173,13435801,34.017542
70,561909,32871609,13668718,37.303958
71,568660,34967964,13945350,39.998875
72,576091,34481955,14115994,38.937875
73,580502,36793902,14233623,41.296458
74,591474,32645291,14484973,36.491792
75,595478,37020651,14608852,41.848333
76,602102,33318406,14774898,37.439791
77,613074,37554317,15071491,43.465375
78,613171,37029527,15101054,42.472291
79,620850,36746087,15191533,41.635708
80,631822,34223770,15520507,39.080042
81,635248,38139153,15603035,42.498
82,648186,36873721,15908704,42.222875
83,659210,37873156,16316432,43.400083
84,662035,41500976,16268785,46.69825
85,674973,35490701,16683788,40.965
86,684350,42696972,16914361,48.439
87,691877,41536931,17172229,46.540209
88,694460,42056430,17209783,47.597917
89,705432,42076832,17589544,47.727667
90,711036,43473720,17603377,49.599792
91,717196,46063463,17816606,52.194917
92,725282,42852516,17964313,48.470958
93,736254,42940085,18335156,49.285375
94,749012,41758812,18558342,47.99775
95,753953,48437045,18791777,54.893708
96,759856,46428068,18970622,53.313375
97,761673,48878546,18897263,55.175666
98,766429,46136201,19129062,51.995333
99,773483,45851248,19294515,51.604125
100,782583,46989765,19564812,53.043792
101,791677,48394273,19888199,54.8255
102,800809,48143390,20069833,54.067625
103,813567,47226192,20339949,53.229416
104,816648,50664126,20485081,59.569333
105,820803,52753803,20584811,60.470458
106,831775,46960657,20861837,54.223
107,847312,47093353,21422617,54.352916
108,852542,53613334,21579976,61.735291
109,863061,52891341,21814454,60.687291
110,869670,51343054,21945556,57.945458
111,871739,53396372,21970234,61.341042
112,882711,50139856,22242589,57.648917
113,883410,54863609,22307456,64.06825
114,894434,56493880,22634757,64.655167
115,896911,57919058,22694882,65.294875
116,899610,57203528,22637928,67.271
117,900971,56705196,22855509,64.230125
118,910430,55992414,23068073,63.847542
119,923188,55200806,23352584,63.482458
120,936126,56629470,23722161,64.173584
121,942415,59895487,23855709,70.722208
