Stock,Actual Comparisons,Theoretical Comparisons,Difference
CSCO.csv,128567,128970.62382043815,-403.6238204381516
UAL.csv,62518,61895.90956651317,622.0904334868319
TROW.csv,145038,146006.99091633456,-968.9909163345583
ISRG.csv,89519,84885.45068490056,4633.549315099444
NVR.csv,174720,149065.07926196998,25654.92073803002
TPR.csv,91451,83599.52152008611,7851.478479913887
DVN.csv,214246,149065.07926196998,65180.92073803002
CE.csv,81337,66088.91090095133,15248.089099048666
MRO.csv,358152,255633.00994964258,102518.99005035742
BA.csv,258690,255633.00994964258,3056.990050357417
VRTX.csv,123791,122763.72433085492,1027.2756691450777
GILD.csv,160658,120604.82711812916,40053.172881870836
EQIX.csv,97955,84242.22459116206,13712.775408837944
TER.csv,242324,204885.63331828607,37438.36668171393
PODD.csv,58539,56832.65329637997,1706.346703620031
MDT.csv,211375,204001.00200325545,7373.997996744554
V.csv,63166,53479.147959680275,9686.852040319725
QRVO.csv,30600,27538.78150134556,3061.2184986544416
A.csv,98122,87281.46178151212,10840.538218487884
FOX.csv,13341,12829.03816614664,511.9618338533601
FLT.csv,49248,42751.77967439,6496.2203256099965
MO.csv,298538,255633.00994964258,42904.99005035742
CTRA.csv,138027,129074.04940633553,8952.950593664471
SWKS.csv,194689,152901.01197117646,41787.98802882354
ENPH.csv,50833,37813.07988933037,13019.920110669627
MCHP.csv,126325,115600.03128699026,10724.968713009745
CDNS.csv,166181,140762.3130398279,25418.686960172112
MSCI.csv,66702,54798.951740319135,11903.048259680865
CHTR.csv,53002,46425.98840479209,6576.011595207907
EIX.csv,219719,203982.95223108205,15736.047768917953
KDP.csv,59050,52945.96426467117,6104.035735328827
BBY.csv,159920,150202.56800369947,9717.431996300525
GEN.csv,152490,131817.90570452405,20672.094295475952
WBA.csv,173471,172897.36334483678,573.6366551632236
LVS.csv,64522,66490.55912131457,-1968.5591213145672
HCA.csv,49704,41865.392503537594,7838.607496462406
AJG.csv,193704,153865.91385649794,39838.08614350206
DTE.csv,314067,255633.00994964258,58433.99005035742
C.csv,263396,187320.19410291,76075.80589709
T.csv,192648,156430.2458728134,36217.75412718661
CF.csv,65980,63844.635425496344,2135.3645745036556
MGM.csv,171329,136837.43584889566,34491.564151104336
HUM.csv,162939,164872.8506268706,-1933.8506268706114
CBOE.csv,47119,44715.2981590668,2403.7018409332013
CFG.csv,32238,28544.124175139696,3693.8758248603044
APH.csv,133071,121461.05956509346,11609.940434906544
SYY.csv,376681,203928.8038586236,172752.1961413764
MSI.csv,286229,255633.00994964258,30595.990050357417
FCX.csv,120078,105725.90459141396,14352.095408586043
ADM.csv,178932,172897.36334483678,6034.636655163224
OGN.csv,6850,5897.476242687014,952.5237573129862
LH.csv,135990,128488.08363633776,7501.91636366224
LNT.csv,329560,204885.63331828607,124674.36668171393
BAC.csv,263996,204885.63331828607,59110.36668171393
PSX.csv,40627,37692.40187594876,2934.598124051241
GPN.csv,85851,82480.17259482053,3370.8274051794724
PPG.csv,184125,172897.36334483678,11227.636655163224
TECH.csv,143291,133425.52520596914,9865.474794030859
IRM.csv,115571,103297.24917324452,12273.75082675548
IQV.csv,32113,33661.2812968967,-1548.2812968966973
ESS.csv,126160,110380.08592412443,15779.914075875568
WBD.csv,69194,64228.765172053856,4965.234827946144
HAL.csv,202868,208138.51837908398,-5270.51837908398
STZ.csv,131465,119954.50936670968,11510.49063329032
DXC.csv,175857,164872.8506268706,10984.149373129389
BG.csv,81484,80213.55276078447,1270.4472392155294
PARA.csv,60770,62566.034652929266,-1796.0346529292656
ADI.csv,192387,172897.36334483678,19489.636655163224
F.csv,254811,208138.51837908398,46672.48162091602
ADBE.csv,155761,144384.4658912512,11376.534108748805
STLD.csv,110460,99833.31462348702,10626.685376512978
CPRT.csv,113021,111313.40696003722,1707.5930399627832
TDG.csv,65535,61481.468046220354,4053.531953779646
TFX.csv,198282,172897.36334483678,25384.636655163224
ULTA.csv,57950,55035.00525696049,2914.9947430395114
ARE.csv,111965,97704.02061549817,14260.979384501828
SYK.csv,182862,172897.36334483678,9964.636655163224
KVUE.csv,591,621.5449615285933,-30.544961528593262
CB.csv,120055,115531.8591016243,4523.140898375699
TSN.csv,193359,172897.36334483678,20461.636655163224
GNRC.csv,47902,46024.637690319374,1877.362309680626
PEP.csv,205226,208138.51837908398,-2912.51837908398
PEG.csv,179832,173820.92187303386,6011.078126966138
NOW.csv,44041,36863.94958936293,7177.050410637072
LLY.csv,212220,208138.51837908398,4081.48162091602
COST.csv,163976,144820.4475713592,19155.552428640804
REG.csv,135700,112944.42292948668,22755.577070513318
NWS.csv,31264,33244.77510332808,-1980.7751033280801
LOW.csv,173514,172897.36334483678,616.6366551632236
MDLZ.csv,93189,80787.77964352402,12401.220356475984
BKNG.csv,106886,89966.66622557373,16919.333774426268
ZBRA.csv,120738,122489.36021705331,-1751.3602170533122
FMC.csv,175875,172897.36334483678,2977.6366551632236
XEL.csv,247576,204885.63331828607,42690.36668171393
AIZ.csv,77183,69987.83029417734,7195.169705822656
MET.csv,95015,85710.85905719335,9304.140942806654
FTV.csv,24634,22112.147124308496,2521.852875691504
DLR.csv,67958,67005.05460498904,952.94539501096
ACGL.csv,107902,104932.57083519579,2969.4291648042126
XRAY.csv,168847,139997.2934461731,28849.706553826894
FAST.csv,146657,139893.00550314836,6763.994496851636
TJX.csv,142725,140553.62926531504,2171.370734684955
SNA.csv,221068,204885.63331828607,16182.366681713931
MPC.csv,45230,40737.584599519585,4492.415400480415
BR.csv,63810,57417.4651638249,6392.534836175102
D.csv,189492,172897.36334483678,16594.636655163224
MRK.csv,274653,255633.00994964258,19019.990050357417
STX.csv,84130,74674.93995653206,9455.060043467936
NOC.csv,165337,164872.8506268706,464.14937312938855
BXP.csv,100630,97452.84884443528,3177.1511555647157
KHC.csv,28494,25714.226035126965,2779.773964873035
IPG.csv,210330,172897.36334483678,37432.63665516322
ABNB.csv,7043,7179.364015743248,-136.36401574324827
UNP.csv,183519,173820.92187303386,9698.078126966138
ALLE.csv,34858,31673.55396234986,3184.446037650141
ABBV.csv,40874,34974.178698261254,5899.821301738746
CDAY.csv,14879,15779.890150677342,-900.8901506773418
ORCL.csv,166143,146251.4009916033,19891.599008396704
ECL.csv,212238,204885.63331828607,7352.366681713931
ETR.csv,223200,208138.51837908398,15061.48162091602
EBAY.csv,114648,92110.98775785127,22537.012242148732
SBUX.csv,120170,118740.41795013941,1429.58204986059
IR.csv,19656,19080.0297052105,575.9702947894984
AMT.csv,100861,94527.58183298192,6333.418167018084
INTU.csv,133588,115685.25237352532,17902.74762647468
DPZ.csv,74868,68244.8178307165,6623.182169283493
PAYC.csv,32763,30184.87905849878,2578.12094150122
CMA.csv,186238,172897.36334483678,13340.636655163224
PG.csv,297640,255633.00994964258,42006.99005035742
CAT.csv,299905,255633.00994964258,44271.99005035742
ODFL.csv,245807,121649.51441435063,124157.48558564937
MCD.csv,237249,234775.46993503798,2473.5300649620185
MNST.csv,238739,147369.23085016175,91369.76914983825
AMZN.csv,106738,97838.00667088294,8899.99332911706
GEHC.csv,1552,1483.6842990179077,68.31570098209227
EG.csv,107650,104713.24845360559,2936.7515463944146
INTC.csv,167261,172897.36334483678,-5636.363344836776
PNR.csv,259150,203982.95223108205,55167.04776891795
GLW.csv,204977,164872.8506268706,40104.14937312939
BDX.csv,221281,204885.63331828607,16395.36668171393
KMI.csv,51856,42140.251901847856,9715.748098152144
CSGP.csv,91668,93093.49365623551,-1425.4936562355142
PWR.csv,98617,94694.48601580666,3922.5139841933415
APTV.csv,42488,39188.88061754486,3299.1193824551374
BBWI.csv,160336,163759.91089151034,-3423.9108915103425
DXCM.csv,70184,65174.14949036159,5009.850509638411
EXR.csv,65842,67858.13319569662,-2016.133195696617
WELL.csv,316269,172861.85168832258,143407.14831167742
HOLX.csv,127988,128832.73626998953,-844.7362699895311
EXPD.csv,184860,152673.03394374115,32186.966056258854
GM.csv,45278,43027.29267925303,2250.707320746973
TXN.csv,227779,208138.51837908398,19640.48162091602
VRSK.csv,47474,47369.15039324888,104.84960675112234
FI.csv,145305,143861.46428333546,1443.5357166645408
SJM.csv,126343,108651.37464100556,17691.62535899444
TMO.csv,200061,172897.36334483678,27163.636655163224
OXY.csv,175352,164872.8506268706,10479.149373129389
RL.csv,113942,97519.821334587,16422.178665412997
CCI.csv,91418,92543.82069187173,-1125.8206918717333
MMM.csv,274548,255633.00994964258,18914.990050357417
MOS.csv,162505,137999.82437516193,24505.17562483807
FTNT.csv,55500,46905.033328188954,8594.966671811046
HSY.csv,180829,172897.36334483678,7931.636655163224
JNPR.csv,93675,88971.14082285743,4703.859177142571
DHI.csv,121642,118996.80978493244,2645.1902150675596
ED.csv,288102,255633.00994964258,32468.990050357417
ES.csv,256912,204885.63331828607,52026.36668171393
ADSK.csv,163803,149327.49894124985,14475.501058750146
GL.csv,178368,170448.77638074517,7919.22361925483
INVH.csv,24516,20056.63622028685,4459.363779713149
IP.csv,302090,255633.00994964258,46456.99005035742
EXPE.csv,67682,64084.6870022279,3597.3129977720964
KO.csv,285057,255633.00994964258,29423.990050357417
PCAR.csv,181629,172897.36334483678,8731.636655163224
RVTY.csv,234309,204885.63331828607,29423.36668171393
WDC.csv,206175,179069.5560137205,27105.44398627951
PYPL.csv,24908,25714.226035126965,-806.2260351269651
