Stock Count,Total Volume,Actual Comparisons,Theoretical Comparisons,Difference,Time (ms)
1,8463,98197,101954.36705840884,-3757.3670584088395,1.064833
2,4437,47036,49319.891533408336,-2283.891533408336,0.378958
3,9445,111521,115280.3898426493,-3759.389842649296,0.895
4,5853,64717,67398.06417717156,-2681.06417717156,0.383792
5,9620,113957,117671.11973868424,-3714.1197386842396,0.678167
6,5775,63991,66388.12021012677,-2397.12021012677,0.3945
7,9620,112885,117671.11973868424,-4786.11973868424,0.571583
8,4699,50710,52621.05070823285,-1911.0507082328477,0.300833
9,15537,192329,200792.1818824286,-8463.181882428587,1.05125
10,15537,193712,200792.1818824286,-7080.181882428587,1.237209
11,8102,93822,97095.87331919951,-3273.8733191995125,0.579375
12,7976,91994,95405.52276252,-3411.522762520006,0.580625
13,5814,64467,66892.90348057609,-2425.9034805760894,0.430792
14,12758,156127,161250.82359704297,-5123.823597042967,0.98225
15,4118,43586,45330.82437605562,-1744.8243760556215,0.30025
16,12709,155573,160560.95085503644,-4987.950855036441,0.983459
17,3905,40697,42686.97218297958,-1989.9721829795817,0.266167
18,2195,21236,22170.51146760787,-934.5114676078701,0.154791
19,5998,66861,69279.49430959871,-2418.494309598711,0.414542
20,1141,10023,10448.090790045386,-425.0907900453858,0.06675
21,3213,32863,34218.50301795964,-1355.5030179596433,0.210083
22,15537,194156,200792.1818824286,-6636.181882428587,1.110042
23,8469,98547,102035.30801711293,-3488.308017112926,0.57275
24,9839,115906,120669.40812189881,-4763.408121898814,0.661792
25,2888,29073,30313.02931765015,-1240.029317650151,0.179666
26,7683,88321,91485.969376402,-3164.969376402005,0.520667
27,9144,107725,111179.3269890332,-3454.3269890332012,0.63975
28,3989,41971,43727.66570685969,-1756.6657068596905,0.291083
29,3452,35629,37121.104218165754,-1492.104218165754,0.257
30,12708,155642,160546.8746538591,-4904.874653859093,0.956125
31,3871,40523,42266.47708276353,-1743.4770827635293,0.283417
32,9685,114578,118560.27938985662,-3982.279389856616,0.656
33,8628,100607,104182.46465889241,-3575.464658892408,0.570667
34,10972,132001,136290.12488593932,-4289.124885939324,0.755
35,4724,50482,52937.167310152174,-2455.1673101521737,0.2985
36,3155,32165,33517.90363453957,-1352.9036345395725,0.194417
37,9894,117501,121423.51399406543,-3922.5139940654335,0.628375
38,15537,192859,200792.1818824286,-7933.181882428587,1.00925
39,11781,137302,147548.2984106888,-10246.298410688789,0.760583
40,10040,119177,123427.45535433487,-4250.455354334874,0.669209
41,4559,48862,50854.37322232947,-1992.373222329472,0.284583
42,8918,102923,108109.49499111141,-5186.494991111409,0.587791
43,10519,125547,130023.30785201635,-4476.307852016354,0.7325
44,3341,34466,35769.96071716614,-1303.960717166141,0.222625
45,2264,21865,22968.50626177138,-1103.506261771381,0.148666
46,8026,92473,96075.95562770024,-3602.955627700241,0.526959
47,12705,155445,160504.64673152185,-5059.646731521847,0.862791
48,15537,193884,200792.1818824286,-6908.181882428587,1.077625
49,7101,79656,83748.81989582742,-4092.819895827415,0.44925
50,10972,131928,136290.12488593932,-4362.124885939324,0.774875
51,593,4620,4870.649758665781,-250.6497586657806,0.033583
52,8435,97797,101576.72379903051,-3779.723799030515,0.555209
53,12758,155985,161250.82359704297,-5265.823597042967,0.843375
54,12758,152940,161250.82359704297,-8310.823597042967,0.851833
55,2880,29079,30217.53691742947,-1138.5369174294683,0.209375
56,5707,63068,65508.8956496895,-2440.895649689497,0.419959
57,10972,131909,136290.12488593932,-4381.124885939324,0.77125
58,8721,101945,105440.31318965335,-3495.313189653345,0.580125
59,6957,79030,81844.88450453934,-2814.884504539339,0.451875
60,2611,25965,27025.859784178832,-1060.8597841788323,0.16975
61,7376,84164,87396.4428086068,-3232.442808606793,0.469708
62,4583,48989,51156.79692202549,-2167.796922025489,0.295625
63,12938,157050,163787.3726925437,-6737.372692543693,0.858625
64,7938,91394,94896.29606548468,-3502.296065484683,0.527583
65,10519,125727,130023.30785201635,-4296.307852016354,0.756125
66,5569,61547,63728.19515296706,-2181.1951529670623,0.362042
67,4479,47650,49847.616098882674,-2197.616098882674,0.28225
68,10972,132281,136290.12488593932,-4009.1248859393236,0.75875
69,12938,155944,163787.3726925437,-7843.372692543693,0.844
70,9352,109949,114011.78577430006,-4062.785774300064,0.592083
71,6751,76532,79128.69803476123,-2596.698034761226,0.488584
72,7431,84701,88127.76039963264,-3426.760399632636,0.503667
73,4411,47010,48993.491988901784,-1983.4919889017838,0.296833
74,10972,132275,136290.12488593932,-4015.1248859393236,0.75975
75,4004,41986,43913.77394037932,-1927.7739403793166,0.24775
76,6624,74751,77458.65760647552,-2707.657606475521,0.412791
77,10972,132132,136290.12488593932,-4158.124885939324,0.750833
78,97,488,544.1915456921514,-56.19154569215141,0.00425
79,7679,87993,91432.57028256646,-3439.570282566463,0.48525
80,10972,131712,136290.12488593932,-4578.124885939324,0.707333
81,3426,35367,36804.15212802379,-1437.1521280237866,0.204041
82,12938,158680,163787.3726925437,-5107.372692543693,0.865
83,11024,132859,137011.24254389212,-4152.24254389212,0.774125
84,2825,28384,29561.8993049365,-1177.8993049365017,0.184167
85,12938,158453,163787.3726925437,-5334.372692543693,0.970167
86,9377,110431,114352.6777958911,-3921.677795891097,0.641792
87,7527,86351,89405.646620893,-3054.646620893007,0.453708
88,2583,25575,26695.870870328796,-1120.8708703287957,0.159416
89,10972,132176,136290.12488593932,-4114.124885939324,0.744542
90,5604,61879,64179.35991137431,-2300.359911374311,0.370584
91,6160,68755,71387.48215518675,-2632.48215518675,0.388167
92,8086,93368,96881.06800816493,-3513.0680081649334,0.530625
93,10972,131903,136290.12488593932,-4387.124885939324,0.769584
94,12758,156613,161250.82359704297,-4637.823597042967,0.857709
95,4941,53657,55688.97204915116,-2031.9720491511616,0.315959
96,5903,65370,68046.25419391999,-2676.2541939199873,0.375458
97,1817,16971,17857.281693593388,-886.2816935933879,0.106583
98,4756,51411,53342.07494679034,-1931.074946790337,0.30825
99,7054,80311,83126.92921944679,-2815.9292194467853,0.427917
100,9100,107008,110581.02255275814,-3573.022552758135,0.725625
101,9094,106881,110499.45933184284,-3618.459331842838,0.60075
102,9132,106918,111016.12269705998,-4098.122697059982,0.585
103,12758,156478,161250.82359704297,-4772.823597042967,0.832458
104,3081,31386,32626.272721448244,-1240.2727214482438,0.193209
105,4155,43952,45791.72912468777,-1839.7291246877721,0.266458
106,10972,131911,136290.12488593932,-4379.124885939324,0.73175
107,15537,194358,200792.1818824286,-6434.181882428587,1.033416
108,5230,57248,59375.073058832415,-2127.073058832415,0.345334
109,10519,125359,130023.30785201635,-4664.307852016354,0.692459
110,6609,74375,77261.63939730926,-2886.6393973092636,0.404041
111,2069,19782,20721.451396880362,-939.4513968803622,0.113
112,10972,131985,136290.12488593932,-4305.124885939324,0.718667
113,699,5614,5906.954903117429,-292.95490311742924,0.039125
114,11024,132574,137011.24254389212,-4437.24254389212,0.756375
115,2477,24415,25450.634685591238,-1035.634685591238,0.155042
116,2699,26958,28065.766796699034,-1107.7667966990339,0.17375
117,1361,12253,12808.624289396937,-555.6242893969375,0.081375
118,9459,111347,115471.47722617109,-4124.47722617109,0.631958
119,12758,156085,161250.82359704297,-5165.823597042967,0.925167
120,12938,158961,163787.3726925437,-4826.372692543693,0.870917
121,6289,70355,73070.4692334573,-2715.4692334573047,0.402042
122,7867,90539,93945.55042964937,-3406.5504296493746,0.518291
123,1601,14705,15442.256905618528,-737.2569056185275,0.095083
124,6434,72320,74966.75241967972,-2646.7524196797167,0.412666
125,7688,88328,91552.72246850861,-3224.722468508611,0.492542
126,4833,52268,54317.6529494742,-2049.652949474199,0.308416
127,2376,23220,24270.22223102262,-1050.2222310226207,0.132666
128,10972,131810,136290.12488593932,-4480.124885939324,0.756917
129,15537,194114,200792.1818824286,-6678.181882428587,1.024375
130,15537,194207,200792.1818824286,-6585.181882428587,1.071792
131,8037,92913,96223.51126307114,-3310.5112630711374,0.474625
132,14402,178737,184547.9623063546,-5810.962306354602,0.975958
133,9523,112194,116345.39957459114,-4151.399574591138,0.571709
134,6632,74626,77563.75402919982,-2937.7540291998157,0.444708
135,192,1181,1265.312800138462,-84.31280013846208,0.009958
136,7041,80144,82954.9965404273,-2810.9965404272953,0.464458
137,10972,131913,136290.12488593932,-4377.124885939324,0.743084
138,12708,155448,160546.8746538591,-5098.874653859093,0.833625
139,10519,125791,130023.30785201635,-4232.307852016354,0.718667
140,12758,155976,161250.82359704297,-5274.823597042967,0.857833
141,3173,32253,33735.167720176665,-1482.1677201766652,0.191625
142,6348,71377,73841.48454867773,-2464.484548677734,0.407625
143,6444,72503,75097.70557798514,-2594.705577985136,0.39275
144,2979,30134,31401.484364175354,-1267.4843641753541,0.195166
145,10456,124992,129153.96606011706,-4161.966060117062,0.722875
146,4642,50077,51901.024007693086,-1824.0240076930859,0.317417
147,4809,52137,54013.385503101264,-1876.3855031012645,0.319459
148,10970,129343,136262.3966810374,-6919.396681037411,0.690542
149,8455,98341,101846.45532725906,-3505.4553272590565,0.529292
150,9826,116894,120491.22963437751,-3597.229634377509,0.635708
151,3231,33184,34436.23882894238,-1252.2388289423834,0.20475
152,12938,158381,163787.3726925437,-5406.372692543693,0.867791
153,3513,36471,37865.82785647419,-1394.8278564741922,0.212375
154,9322,110025,113602.84264065804,-3577.84264065804,0.667458
155,7274,82692,86041.75057285417,-3349.750572854173,0.442166
156,10972,131976,136290.12488593932,-4314.124885939324,0.711125
157,10519,124773,130023.30785201635,-5250.307852016354,0.699833
158,6613,74475,77314.17278858219,-2839.1727885821892,0.449166
159,6315,70787,73410.14072293209,-2623.1407229320903,0.413
160,15537,194431,200792.1818824286,-6361.181882428587,1.019625
161,8985,105055,109018.72555374978,-3963.725553749784,0.58325
162,3483,36110,37499.37770067456,-1389.3777006745586,0.221834
163,10972,132065,136290.12488593932,-4225.124885939324,0.794
164,6100,68178,70606.02051675942,-2428.020516759425,0.410333
165,7882,90836,94146.33544107442,-3310.3354410744214,0.503792
166,15537,194185,200792.1818824286,-6607.181882428587,1.049541
167,12758,156372,161250.82359704297,-4878.823597042967,0.847125
168,9635,113976,117876.254344649,-3900.2543446490017,0.676375
169,10834,130150,134378.1179198534,-4228.117919853394,0.798084
170,1671,15524,16220.554846180246,-696.5548461802464,0.100167
171,15537,193954,200792.1818824286,-6838.181882428587,1.011958
172,4574,49150,51043.36673498299,-1893.366734982992,0.29575
173,15537,194571,200792.1818824286,-6221.181882428587,1.017291
