Stock Count,Total Volume,Time (ms)
1,8463,1.030916
2,12900,0.869083
3,22345,1.750917
4,28198,1.247584
5,37818,1.711292
6,43593,1.408084
7,53213,2.081584
8,57912,1.931583
9,73449,3.433917
10,88986,4.095042
11,97088,5.168167
12,105064,4.577333
13,110878,3.86425
14,123636,4.768375
15,127754,4.3
16,140463,5.825666
17,144368,5.448667
18,146563,5.155125
19,152561,5.585833
20,153702,4.359333
21,156915,4.578708
22,172452,5.983375
23,180921,5.442167
24,190760,6.303541
25,193648,5.38675
26,201331,5.895958
27,210475,6.376208
28,214464,6.061708
29,217916,6.259125
30,230624,7.334041
31,234495,6.677625
32,244180,7.365166
33,252808,8.320834
34,263780,8.169208
35,268504,8.304375
36,271659,8.168334
37,281553,8.3575
38,297090,9.051833
39,308871,9.131625
40,318911,9.5225
41,323470,9.12275
42,332388,9.916584
43,342907,10.180875
44,346248,12.958625
45,348512,19.267542
46,356538,10.290083
47,369243,10.700166
48,384780,15.512625
49,391881,10.689208
50,402853,11.426375
51,403446,11.775625
52,411881,11.297708
53,424639,12.041292
54,437397,12.833792
55,440277,11.667584
56,445984,12.048375
57,456956,13.453125
58,465677,13.080959
59,472634,12.937375
60,475245,13.446625
61,482621,13.2235
62,487204,13.045083
63,500142,14.771209
64,508080,14.201041
65,518599,14.835667
66,524168,15.286417
67,528647,14.899958
68,539619,16.5325
69,552557,15.795209
70,561909,15.995875
71,568660,16.540708
72,576091,16.014667
73,580502,16.274416
74,591474,17.163833
75,595478,16.789291
76,602102,17.673542
77,613074,18.01725
78,613171,17.135584
79,620850,17.950584
80,631822,18.89725
81,635248,19.295958
82,648186,18.809333
83,659210,20.492792
84,662035,19.347958
85,674973,20.562292
86,684350,20.751666
87,691877,20.829875
88,694460,21.182791
89,705432,21.077917
90,711036,21.883708
91,717196,21.375542
92,725282,22.00125
93,736254,21.716042
94,749012,22.375875
95,753953,21.879333
96,759856,22.525542
97,761673,21.641125
98,766429,22.590916
99,773483,22.183708
100,782583,22.909708
101,791677,23.132959
102,800809,23.624
103,813567,23.783208
104,816648,23.852833
105,820803,24.090667
106,831775,25.191542
107,847312,26.129791
108,852542,25.272
109,863061,26.562292
110,869670,25.579834
111,871739,25.848875
112,882711,26.50425
113,883410,26.791208
114,894434,27.308709
115,896911,27.144458
116,899610,27.25375
117,900971,26.115666
118,910430,27.822792
119,923188,27.973625
120,936126,28.643583
121,942415,29.387208
122,950282,29.267459
123,951883,29.1765
124,958317,29.645709
125,966005,29.326583
126,970838,29.449583
127,973214,29.071833
128,984186,29.9425
129,999723,31.461833
130,1015260,31.524417
131,1023297,31.427583
132,1037699,33.161333
133,1047222,32.633416
134,1053854,32.684625
135,1054046,33.359584
136,1061087,33.482542
137,1072059,33.549375
138,1084767,35.203208
139,1095286,34.264125
140,1108044,34.105375
141,1111217,34.514667
142,1117565,34.827
143,1124009,35.437375
144,1126988,35.383917
145,1137444,36.870333
146,1142086,35.195416
147,1146895,35.443042
148,1157865,35.809083
149,1166320,36.151875
150,1176146,35.848166
151,1179377,36.249834
152,1192315,37.083542
153,1195828,36.680041
154,1205150,36.698292
155,1212424,37.082917
156,1223396,37.578834
157,1233915,37.692958
158,1240528,37.154708
159,1246843,37.362334
160,1262380,38.911458
161,1271365,39.349708
162,1274848,38.946458
163,1285820,39.403666
164,1291920,39.334458
165,1299802,39.519959
166,1315339,40.70975
167,1328097,42.517875
168,1337732,41.306333
169,1348566,41.809667
170,1350237,41.936083
171,1365774,42.105166
172,1370348,41.742083
173,1385885,43.557209
174,1396857,43.197375
175,1409615,43.084292
176,1420934,43.654125
177,1423003,42.954209
178,1435761,43.651458
179,1441765,43.066833
180,1447276,43.21375
181,1460214,44.904458
182,1469672,43.570291
183,1476532,44.862458
184,1486637,50.325208
185,1497622,45.426875
186,1508594,45.394292
187,1510896,45.778667
188,1521868,46.19225
189,1531742,45.789958
190,1539287,45.176333
191,1552225,45.677958
192,1557804,45.694917
193,1564257,45.720583
194,1570167,45.73075
195,1574611,45.558917
196,1578492,45.429542
197,1588743,46.260709
198,1599715,46.6635
199,1615252,47.285208
200,1626224,46.991625
201,1635337,46.758042
202,1642787,46.9305
203,1655545,47.974666
204,1663076,48.075458
205,1675834,48.755292
206,1684401,48.66125
207,1697339,49.755292
208,1704835,48.825042
209,1715807,49.420875
