File Name,Array Size,Actual Comparisons,Estimated Theoretical Comparisons
CSCO.csv,8463,209884,214261
UAL.csv,4437,103648,104131
TROW.csv,9445,244040,242415
ISRG.csv,5853,141136,142306
NVR.csv,9620,246844,247438
TPR.csv,5775,140068,140164
DVN.csv,9620,251458,247446
CE.csv,4699,109546,111126
MRO.csv,15537,425834,420786
BA.csv,15537,425866,420789
VRTX.csv,8102,207008,204093
GILD.csv,7976,200354,200614
EQIX.csv,5814,142112,141231
TER.csv,12758,343340,338807
PODD.csv,4118,96486,95673
MDT.csv,12709,341178,337379
V.csv,3905,86382,90189
QRVO.csv,2195,46382,47049
A.csv,5998,144010,146238
FOX.csv,1141,21840,22321
FLT.csv,3213,72842,72552
MO.csv,15537,425916,420781
CTRA.csv,8469,217182,214458
SWKS.csv,9839,256052,253770
ENPH.csv,2888,65334,64324
MCHP.csv,7683,191728,192485
CDNS.csv,9144,236412,233761
MSCI.csv,3989,91502,92359
CHTR.csv,3452,79284,78641
EIX.csv,12708,342792,337358
KDP.csv,3871,88796,89325
BBY.csv,9685,250346,249309
GEN.csv,8628,219278,219002
WBA.csv,10972,290268,286604
LVS.csv,4724,110810,111814
HCA.csv,3155,69508,71081
AJG.csv,9894,257852,255366
DTE.csv,15537,426474,420805
C.csv,11781,315100,310199
T.csv,10040,263544,259585
CF.csv,4559,105036,107385
MGM.csv,8918,227090,227302
HUM.csv,10519,276680,273426
CBOE.csv,3341,76258,75800
CFG.csv,2264,48652,48763
APH.csv,8026,201956,201998
SYY.csv,12705,334616,337263
MSI.csv,15537,426942,420798
FCX.csv,7101,178130,176461
ADM.csv,10972,289362,286632
OGN.csv,593,10402,10491
LH.csv,8435,215254,213463
LNT.csv,12758,344050,338834
BAC.csv,12758,344272,338823
PSX.csv,2880,63210,64133
GPN.csv,5707,139026,138340
PPG.csv,10972,289856,286619
TECH.csv,8721,221360,221633
IRM.csv,6957,174848,172517
IQV.csv,2611,57670,57381
ESS.csv,7376,186118,184022
WBD.csv,4583,108522,108008
HAL.csv,12938,350704,344112
STZ.csv,7938,200854,199553
DXC.csv,10519,276830,273438
BG.csv,5569,135314,134580
PARA.csv,4479,104470,105272
ADI.csv,10972,289668,286603
F.csv,12938,348212,344100
ADBE.csv,9352,236584,239709
STLD.csv,6751,167604,166860
CPRT.csv,7431,184454,185544
TDG.csv,4411,103670,103423
TFX.csv,10972,290654,286608
ULTA.csv,4004,93514,92743
ARE.csv,6624,165444,163358
SYK.csv,10972,287900,286595
KVUE.csv,97,1238,1216
CB.csv,7679,194152,192419
TSN.csv,10972,290928,286606
GNRC.csv,3426,78082,77966
PEP.csv,12938,347240,344097
PEG.csv,11024,292708,288102
NOW.csv,2825,62644,62747
LLY.csv,12938,349778,344096
COST.csv,9377,241364,240451
REG.csv,7527,190146,188178
NWS.csv,2583,55676,56664
LOW.csv,10972,288754,286612
MDLZ.csv,5604,136210,135519
BKNG.csv,6160,149504,150680
ZBRA.csv,8086,202272,203632
FMC.csv,10972,287486,286581
XEL.csv,12758,343588,338785
AIZ.csv,4941,115426,117628
MET.csv,5903,144634,143669
FTV.csv,1817,38070,37992
DLR.csv,4756,113442,112643
ACGL.csv,7054,175516,175161
XRAY.csv,9100,233844,232491
FAST.csv,9094,233180,232333
TJX.csv,9132,233024,233425
SNA.csv,12758,344352,338820
MPC.csv,3081,68448,69186
BR.csv,4155,94854,96644
D.csv,10972,290728,286588
MRK.csv,15537,426768,420807
STX.csv,5230,123568,125417
NOC.csv,10519,275526,273416
BXP.csv,6609,163814,162945
KHC.csv,2069,44520,43955
IPG.csv,10972,290880,286608
ABNB.csv,699,12558,12712
UNP.csv,11024,290246,288148
ALLE.csv,2477,53760,54040
ABBV.csv,2699,59050,59580
CDAY.csv,1361,27640,27364
ORCL.csv,9459,238474,242798
ECL.csv,12758,342604,338805
ETR.csv,12938,349484,344080
EBAY.csv,6289,148190,154202
SBUX.csv,7867,195354,197533
IR.csv,1601,33282,32938
AMT.csv,6434,158348,158145
INTU.csv,7688,189388,192616
DPZ.csv,4833,114866,114727
PAYC.csv,2376,51348,51531
CMA.csv,10972,290592,286578
PG.csv,15537,426748,420773
CAT.csv,15537,427736,420792
ODFL.csv,8037,197178,202286
MCD.csv,14402,391470,387246
MNST.csv,9523,242832,244647
AMZN.csv,6632,158468,163585
GEHC.csv,192,2772,2782
EG.csv,7041,174414,174820
INTC.csv,10972,285400,286615
PNR.csv,12708,342640,337350
GLW.csv,10519,276126,273453
BDX.csv,12758,342592,338780
KMI.csv,3173,72368,71528
CSGP.csv,6348,157994,155808
PWR.csv,6444,159818,158430
APTV.csv,2979,65512,66628
BBWI.csv,10456,274446,271645
DXCM.csv,4642,111146,109608
EXR.csv,4809,114808,114080
WELL.csv,10970,289086,286565
HOLX.csv,8455,216738,214039
EXPD.csv,9826,254464,253386
GM.csv,3231,72652,73006
TXN.csv,12938,346656,344102
VRSK.csv,3513,80318,80188
FI.csv,9322,239424,238855
SJM.csv,7274,183714,181237
TMO.csv,10972,290092,286605
OXY.csv,10519,277662,273426
RL.csv,6613,164696,163063
CCI.csv,6315,156258,154888
MMM.csv,15537,426930,420794
MOS.csv,8985,232566,229180
FTNT.csv,3483,78468,79423
HSY.csv,10972,289754,286611
JNPR.csv,6100,145370,149038
DHI.csv,7882,200360,198022
ED.csv,15537,426218,420773
ES.csv,12758,344070,338803
ADSK.csv,9635,247736,247872
GL.csv,10834,283700,282592
INVH.csv,1671,34966,34569
IP.csv,15537,427556,420769
EXPE.csv,4574,108056,107787
KO.csv,15537,425860,420782
PCAR.csv,10972,289662,286612
RVTY.csv,12758,344008,338822
WDC.csv,11319,301434,296728
PYPL.csv,2069,43926,43973
NEE.csv,12758,344746,338795
UPS.csv,6004,146696,146405
ELV.csv,5511,130382,133020
EMR.csv,12938,350008,344084
MSFT.csv,9458,239158,242767
ANSS.csv,6860,169960,169843
CTAS.csv,10105,262430,261460
BIO.csv,10985,289172,286986
UDR.csv,10972,282038,286582
CTLT.csv,2302,50120,49691
WEC.csv,10972,290726,286629
AME.csv,9874,257790,254768
IT.csv,7545,187716,188658
DD.csv,12938,350024,344109
ACN.csv,5579,133922,134846
VRSN.csv,6453,154150,158683
EW.csv,5910,143310,143858
CMG.csv,4444,103664,104309
AWK.csv,3881,89382,89572
COO.csv,10251,268892,265670
SHW.csv,10972,288718,286596
HPQ.csv,15537,428310,420792
AMAT.csv,10972,286828,286626
CCL.csv,9113,236838,232862
MLM.csv,7450,188062,186043
AVY.csv,12758,344594,338828
ATVI.csv,7531,188774,188315
EVRG.csv,12758,344206,338814
EA.csv,8567,217206,217236
DE.csv,12938,349244,344109
SPG.csv,7496,188924,187336
AMD.csv,10972,291366,286609
KLAC.csv,10829,283052,282448
NDAQ.csv,5344,127024,128508
URI.csv,6481,161224,159440
WHR.csv,12758,344456,338823
RTX.csv,15474,424860,418931
NXPI.csv,3304,75308,74873
PNC.csv,12065,323454,318506
KMX.csv,6702,165918,165476
SEDG.csv,2138,45862,45644
WRK.csv,2076,44310,44135
MTCH.csv,7724,191940,193634
BIIB.csv,8064,202392,203032
NVDA.csv,6207,149038,151937
CHRW.csv,6525,161954,160636
ROP.csv,7960,201330,200160
IDXX.csv,8124,202422,204700
EXC.csv,12709,343032,337366
HES.csv,10972,290474,286624
HD.csv,10589,275440,275465
ALB.csv,7448,188344,186022
VLO.csv,10518,276490,273423
AON.csv,10919,288614,285042
