File Count,Total Volume,Actual Comparisons,Estimated Theoretical Comparisons
1,8463,209884,214246
2,12900,339196,342956
3,22345,620998,629581
4,28198,822734,812996
5,37818,1121708,1121933
6,43593,1350736,1312163
7,53213,1659198,1632179
8,57912,1845238,1789503
9,73449,2351042,2319178
10,88986,2914236,2861892
11,97088,3241712,3147067
12,105064,3563070,3428979
13,110878,3759652,3635051
14,123636,4192598,4088540
15,127754,4393538,4235187
16,140463,4839084,4696322
17,144368,5024684,4839373
18,146563,5129856,4919757
19,152561,5341176,5140233
20,153702,5415862,5182241
21,156915,5520262,5300651
22,172452,6070674,5875094
23,180921,6424838,6189259
24,190760,6780506,6555314
25,193648,6952366,6662798
26,201331,7229362,6949515
27,210475,7560572,7291070
28,214464,7744088,7440503
29,217916,7886112,7569516
30,230624,8309902,8046073
31,234495,8527900,8191306
32,244180,8877844,8555255
33,252808,9224536,8879873
34,263780,9627934,9294238
35,268504,9855260,9475958
36,271659,9986540,9597148
37,281553,10302466,9978590
38,297090,10884918,10579361
39,308871,11436914,11036173
40,318911,11881676,11426315
41,323470,12086070,11603741
42,332388,12414808,11951353
43,342907,12820376,12361784
44,346248,13017530,12492146
45,348512,13106876,12580659
46,356538,13418854,12894427
47,369243,13880272,13392181
48,384780,14489808,14001442
49,391881,14856790,14280494
50,402853,15272854,14711876
51,403446,15344124,14735001
52,411881,15635794,15066906
53,424639,16103314,15569531
54,437397,16677308,16072779
55,440277,16820772,16186235
56,445984,17055838,16411564
57,456956,17463226,16844913
58,465677,17830562,17189656
59,472634,18136190,17464766
60,475245,18271060,17567943
61,482621,18512846,17860022
62,487204,18701548,18041308
63,500142,19228706,18554011
64,508080,19575706,18868620
65,518599,19988964,19285706
66,524168,20245348,19506792
67,528647,20372884,19687461
68,539619,20858080,20131353
69,552557,21397900,20655353
70,561909,21828704,21034914
71,568660,22143036,21308864
72,576091,22461858,21610788
73,580502,22645654,21790418
74,591474,23023390,22236783
75,595478,23298622,22399693
76,602102,23548030,22669908
77,613074,24000378,23117453
78,613171,23803512,23121369
79,620850,24361846,23435050
80,631822,24793462,23883296
81,635248,24995948,24023313
82,648186,25507622,24552401
83,659210,25976570,25004180
84,662035,26145814,25119975
85,674973,26650864,25650135
86,684350,27075996,26035132
87,691877,27376704,26344200
88,694460,27536554,26450045
89,705432,27977426,26901020
90,711036,28162310,27131344
91,717196,28485964,27384897
92,725282,28800156,27717153
93,736254,29261744,28169004
94,749012,29782374,28694856
95,753953,30067282,28898419
96,759856,30203952,29141869
97,761673,30311570,29216999
98,766429,30606776,29413155
99,773483,30895032,29704159
100,782583,31258294,30079663
101,791677,31670620,30455284
102,800809,32050584,30832521
103,813567,32502868,31359877
104,816648,32393210,31487195
105,820803,32914488,31659086
106,831775,33357378,32113035
107,847312,34002888,32756455
108,852542,34112750,32973036
109,863061,34689284,33408639
110,869670,35001462,33682507
111,871739,34775884,33768122
112,882711,35532656,34223166
113,883410,35115446,34252343
114,894434,35977226,34709142
115,896911,36184784,34812183
116,899610,35845834,34923897
117,900971,36367672,34980431
118,910430,36353894,35373308
119,923188,37235470,35902855
120,936126,37773410,36440028
121,942415,37555278,36701606
122,950282,37928140,37028620
123,951883,38498640,37095175
124,958317,38808186,37362664
125,966005,39115794,37682077
126,970838,39334890,37883117
127,973214,39462918,37982216
128,984186,39863204,38438561
129,999723,40518248,39084994
130,1015260,41177616,39732053
131,1023297,41543388,40067049
132,1037699,42143950,40666637
133,1047222,42569960,41063627
134,1053854,41970770,41343824
135,1054046,42501134,41352054
136,1061087,43157928,41650454
137,1072059,42970298,42116281
138,1084767,44169172,42656409
139,1095286,44691306,43103166
140,1108044,45229052,43645378
141,1111217,45187006,43780597
142,1117565,45729366,44050817
143,1124009,46016358,44325047
144,1126988,46032800,44452268
145,1137444,46597044,44897566
146,1142086,46833052,45095622
147,1146895,47036524,45300850
148,1157865,47441484,45768470
149,1166320,47886654,46129333
150,1176146,48308216,46549042
151,1179377,47555768,46686943
152,1192315,48950760,47239543
153,1195828,49210406,47389827
154,1205150,49629854,47788574
155,1212424,49935242,48099598
156,1223396,50408266,48569463
157,1233915,50902290,49019638
158,1240528,51211394,49302785
159,1246843,51514824,49573188
160,1262380,52130296,50239429
161,1271365,52581070,50624639
162,1274848,52010232,50774074
163,1285820,53199974,51244642
164,1291920,52930916,51506804
165,1299802,53872532,51845133
166,1315339,54469822,52512678
167,1328097,55067612,53060870
168,1337732,55536566,53475068
169,1348566,56017138,53941083
170,1350237,55821704,54012951
171,1365774,56745426,54681511
172,1370348,56908998,54878288
