File Name,Array Size,Actual Comparisons,Estimated Theoretical Comparisons,Sorting Time (ms)
CSCO.csv,8463,147009,148215,0.388458
UAL.csv,4437,73589,72685,0.192917
TROW.csv,9445,164567,163753,0.43475
ISRG.csv,5853,95754,95440,0.260125
NVR.csv,9620,166409,166425,0.531291
TPR.csv,5775,94583,94316,0.278375
DVN.csv,9620,166815,166546,0.440417
CE.csv,4699,77720,76722,0.217666
MRO.csv,15537,273620,273950,0.709459
BA.csv,15537,273826,273750,0.768291
VRTX.csv,8102,136597,134935,0.376125
GILD.csv,7976,132947,132652,0.361958
EQIX.csv,5814,95395,94860,0.24975
TER.csv,12758,223695,223728,0.6005
PODD.csv,4118,68450,68215,0.182375
MDT.csv,12709,223154,223078,0.6245
V.csv,3905,61067,61075,0.172584
QRVO.csv,2195,34093,33813,0.094125
A.csv,5998,98158,97869,0.280042
FOX.csv,1141,16282,16332,0.043792
FLT.csv,3213,50335,49908,0.150667
MO.csv,15537,273866,273873,0.770625
CTRA.csv,8469,148653,148267,0.425667
SWKS.csv,9839,168857,170201,0.446542
ENPH.csv,2888,44118,44280,0.108167
MCHP.csv,7683,128141,127708,0.369583
CDNS.csv,9144,158379,158637,0.450959
MSCI.csv,3989,62828,62438,0.176916
CHTR.csv,3452,53489,53583,0.141042
EIX.csv,12708,223171,223082,0.618333
KDP.csv,3871,60998,60476,0.160791
BBY.csv,9685,168965,167464,0.468875
GEN.csv,8628,150576,150529,0.397791
WBA.csv,10972,191596,189966,0.523042
LVS.csv,4724,77025,77186,0.193458
HCA.csv,3155,49946,49035,0.136083
AJG.csv,9894,171648,171078,0.496417
DTE.csv,15537,271690,273969,0.713667
C.csv,11781,202125,204272,0.51075
T.csv,10040,173239,173317,0.453875
CF.csv,4559,73654,74483,0.190667
MGM.csv,8918,153174,155023,0.384
HUM.csv,10519,184730,182706,0.505208
CBOE.csv,3341,52154,51914,0.139
CFG.csv,2264,33870,34732,0.087916
APH.csv,8026,133914,133469,0.373875
SYY.csv,12705,219543,223019,0.61525
MSI.csv,15537,273131,273983,0.746291
FCX.csv,7101,117186,117200,0.297542
ADM.csv,10972,190561,189994,0.5585
OGN.csv,593,7935,7853,0.018417
LH.csv,8435,147561,147703,0.389875
LNT.csv,12758,222273,223844,0.56325
BAC.csv,12758,221276,223831,0.564042
PSX.csv,2880,44421,44173,0.11525
GPN.csv,5707,94363,93201,0.255542
PPG.csv,10972,190668,189856,0.53075
TECH.csv,8721,153050,152282,0.414542
IRM.csv,6957,115360,114996,0.309875
IQV.csv,2611,39426,40085,0.105375
ESS.csv,7376,122276,122382,0.323583
WBD.csv,4583,74548,74793,0.199125
HAL.csv,12938,226223,226931,0.604208
STZ.csv,7938,132827,132016,0.377542
DXC.csv,10519,182483,182625,0.552292
BG.csv,5569,91499,90788,0.243375
PARA.csv,4479,72912,73351,0.190334
ADI.csv,10972,189766,189856,0.517375
F.csv,12938,226284,226863,0.600125
ADBE.csv,9352,162669,162493,0.446
STLD.csv,6751,110484,111623,0.295875
CPRT.csv,7431,124797,123505,0.3525
TDG.csv,4411,72559,72336,0.196208
TFX.csv,10972,189544,189898,0.511375
ULTA.csv,4004,63265,62630,0.186166
ARE.csv,6624,107952,109310,0.300417
SYK.csv,10972,190194,190003,0.562083
KVUE.csv,97,1064,1010,0.001875
CB.csv,7679,128477,127384,0.35875
TSN.csv,10972,188113,189920,0.501917
GNRC.csv,3426,53619,53139,0.13875
PEP.csv,12938,227600,226911,0.674334
PEG.csv,11024,190041,190898,0.53075
NOW.csv,2825,43523,43346,0.113958
LLY.csv,12938,225979,226993,0.640459
COST.csv,9377,164152,162808,0.459291
REG.csv,7527,124300,124813,0.324416
NWS.csv,2583,39200,39772,0.132833
LOW.csv,10972,189572,189924,0.52425
MDLZ.csv,5604,92418,91336,0.252959
BKNG.csv,6160,103789,102298,0.289667
ZBRA.csv,8086,133405,134575,0.4125
FMC.csv,10972,190485,190041,0.540459
XEL.csv,12758,223538,223678,0.601709
AIZ.csv,4941,80601,80483,0.620208
MET.csv,5903,96720,96368,0.26525
FTV.csv,1817,26501,26517,0.075834
DLR.csv,4756,78133,77714,0.225958
ACGL.csv,7054,115749,116487,0.316541
XRAY.csv,9100,157464,157859,0.464542
FAST.csv,9094,157669,157764,0.4435
TJX.csv,9132,157756,158283,0.447417
SNA.csv,12758,224159,223781,0.621208
MPC.csv,3081,48511,48129,0.137333
BR.csv,4155,68971,68728,0.189333
D.csv,10972,189958,189961,0.522541
MRK.csv,15537,274066,273858,0.757333
STX.csv,5230,86711,85617,0.230625
NOC.csv,10519,182685,182637,0.488
BXP.csv,6609,109195,109114,0.287333
KHC.csv,2069,32195,32131,0.08125
IPG.csv,10972,188162,189961,0.514209
ABNB.csv,699,9468,9265,0.022417
UNP.csv,11024,191538,190958,0.532083
ALLE.csv,2477,38426,37851,0.104042
ABBV.csv,2699,42229,41322,0.107791
CDAY.csv,1361,19317,19442,0.048875
ORCL.csv,9459,163881,163931,0.443125
ECL.csv,12758,223605,223849,0.755541
ETR.csv,12938,226129,226947,0.6675
EBAY.csv,6289,105080,104166,0.285125
SBUX.csv,7867,132211,130765,0.379416
IR.csv,1601,22909,23299,0.064708
AMT.csv,6434,105730,106503,0.327916
INTU.csv,7688,128030,127972,0.363208
DPZ.csv,4833,78882,78723,0.222792
PAYC.csv,2376,36666,36395,0.102083
CMA.csv,10972,190426,189885,0.532583
PG.csv,15537,273408,273952,0.806041
CAT.csv,15537,273483,273800,0.760917
ODFL.csv,8037,133465,133699,0.384584
MCD.csv,14402,255090,254056,0.726375
MNST.csv,9523,163928,165011,0.411625
AMZN.csv,6632,110923,109421,0.346125
GEHC.csv,192,1944,2168,0.00775
EG.csv,7041,117033,116391,0.35275
INTC.csv,10972,189533,189916,0.57875
PNR.csv,12708,220869,223099,0.702459
GLW.csv,10519,183398,182750,0.560292
BDX.csv,12758,224405,223833,0.658958
KMI.csv,3173,49762,49266,0.125
CSGP.csv,6348,104912,105026,0.288333
PWR.csv,6444,107573,106557,0.305625
APTV.csv,2979,45998,45681,0.1225
BBWI.csv,10456,182139,181569,0.513084
DXCM.csv,4642,76283,76096,0.205542
EXR.csv,4809,78675,78373,0.208458
WELL.csv,10970,187583,189909,0.461375
HOLX.csv,8455,148941,148136,0.403917
EXPD.csv,9826,169064,169976,0.467125
GM.csv,3231,50710,50185,0.13525
TXN.csv,12938,226310,226898,0.649042
VRSK.csv,3513,54768,54510,0.1515
FI.csv,9322,162032,161937,0.460166
SJM.csv,7274,121422,120798,0.309666
TMO.csv,10972,190407,190004,0.508959
OXY.csv,10519,182738,182707,0.476833
RL.csv,6613,109571,109101,0.296
CCI.csv,6315,105779,104531,0.288625
MMM.csv,15537,273787,273819,0.745417
MOS.csv,8985,155912,156013,0.406916
FTNT.csv,3483,54105,54029,0.173708
HSY.csv,10972,190645,190023,0.527208
JNPR.csv,6100,100763,99569,0.284292
DHI.csv,7882,132206,130876,0.347792
ED.csv,15537,273092,273870,0.738167
ES.csv,12758,222922,223848,0.600459
ADSK.csv,9635,168171,166846,0.471416
GL.csv,10834,187014,187712,0.551416
INVH.csv,1671,24729,24293,0.061708
IP.csv,15537,273424,273830,0.7385
EXPE.csv,4574,76049,74719,0.203875
KO.csv,15537,273626,273890,0.782208
PCAR.csv,10972,190035,190006,0.520375
RVTY.csv,12758,224207,223749,0.612333
WDC.csv,11319,197585,196459,0.576916
PYPL.csv,2069,32172,32068,0.082958
NEE.csv,12758,223000,223780,0.618833
UPS.csv,6004,98024,97956,0.268208
ELV.csv,5511,89860,89943,0.242667
EMR.csv,12938,227016,226912,0.617292
MSFT.csv,9458,164202,163841,0.480042
ANSS.csv,6860,114431,113279,0.331333
CTAS.csv,10105,174686,174388,0.466042
BIO.csv,10985,189602,190202,0.482167
UDR.csv,10972,185933,190022,0.470375
CTLT.csv,2302,34919,35257,0.089792
WEC.csv,10972,188723,189984,0.516542
AME.csv,9874,170632,170750,0.496709
IT.csv,7545,126999,125052,0.360958
DD.csv,12938,226391,226917,0.613833
ACN.csv,5579,91560,90900,0.2585
VRSN.csv,6453,106497,106700,0.283708
EW.csv,5910,95951,96510,0.269917
CMG.csv,4444,72272,72797,0.195167
AWK.csv,3881,60812,60608,0.173667
COO.csv,10251,179774,178681,0.484292
